F-ODE-ADJ3-001	retained_blocker	fail	No production-code change and no reopen. If an owner authorizes a replacement runner, its existing result type must require a terminal outcome enum, last accepted N/state, elapsed wall, actual work counters, and an explicit predicate_not_evaluated state on timeout/error.	Contract fixture: timeout before predicate evaluation serializes terminal=budget_exhausted, last accepted state/work, checks=null, and cannot be promoted by projection fields.	Retains G-F10-INDEPENDENT-FLRW=FAIL and CLOSED_ON_CURRENT_MEASUREMENT.
F-ODE-ADJ3-002	retained_blocker	fail	No current implementation change or D-071 reopen. Any future authorized evidence API must require prefix_provenance, domain_valid_all_states, direct_jvp_used, perturbation_norm/epsilon, and reaction_tail_authority before a physical-prefix verdict can exist.	Metamorphic admission test: rescaling an irrelevant elapsed-time coordinate must not change a domain-safe JVP direction; static-only, huge-epsilon, negative-N, and dimension-one-breakdown payloads remain non-authoritative.	Diagnostic static/JVP evidence only; no trajectory, prefix, reaction-tail, or endpoint authority.
F-ODE-ADJ3-003	retained_blocker	fail	Do not flip or remove the xfail. Keep the blocker in the existing gate/status machinery; only a freshly executed convergence result satisfying the frozen threshold may change status.	Meta-test: the promotion aggregator must fail when the named test is XPASS/FAIL/XFAIL without a qualifying frozen result, and pass only on an executed threshold-satisfying artifact.	Retained source evidence; magnitude not freshly validated here.
F-ODE-ADJ3-004	defect_repair	fail	Classify each solve before any handoff or postprocessing with an existing shared typed outcome. Require success, status/event consistency, finite final state, the expected event, and event residual tolerance; return/raise a structured partial failure before phase 2 or observables.	Inject success=False after two points, success=True without t_events, contradictory status/event, and nonfinite last state; assert phase 2 is not called, no observables exist, and raw partial evidence is returned.	Defect repair only; no Type-I equivalence or endpoint promotion claim.
F-ODE-ADJ3-005	defect_repair	fail	Apply the same typed admission to both solves before delta_Yp. Require the declared terminal target or rename the routine/result as handoff-only; reject |v|>=1 and nonfinite inputs before RHS evaluation.	Failure-inject primary and baseline independently; add no-event success, equal-start, |v| boundary, and metamorphic primary/baseline swap tests proving delta is absent unless both runs qualify.	Exploratory driver correctness only; no production support.
F-ODE-ADJ3-006	defect_repair	fail	Return a convergence result with converged=false and selected_ell=null until two admitted solves satisfy both absolute and relative criteria. Fail on any solver outcome violation and validate monotone unique candidate lists plus finite nonnegative tolerances.	Property tests over failed solves, empty/single/duplicate candidates, exact-zero and near-zero baselines, no qualifying pair, and scale metamorphisms; assert exactness cannot certify a partial trajectory.	Validation-helper repair, not convergence validation.
F-ODE-ADJ3-007	defect_repair	fail	Introduce an internal typed EventRefinement result with converged, bracket, residual, iterations, and failure reason. Initial zero is an event; nonfinite event values fail; compare directions without integer truncation; reject unsupported multiple/nonterminal events explicitly. Exhausted refinement is solver failure with no t_events.	Regression for all-refinement-failed residual=123 counterexample plus initial zero, NaN event, exact-zero endpoint, direction=0.5, nonterminal and multiple events. Metamorphic time reversal flips direction but preserves detection.	Reference/opt-in solver correctness only until endpoint gates run.
F-ODE-ADJ3-008	defect_repair	fail	At the host boundary validate finite ordered span/state and positive tolerances/step controls; handle initial zero and nonfinite event values before the loop; expose or explicitly constrain event direction; require finite final state and typed terminal reason for success.	CPU-JAX regressions for zero-span NaN/Inf state, rtol=0, atol<0, initial-zero/nonfinite events, both direction signs, and nonfinite candidate; compare semantic outcomes to SciPy, not only trajectories.	Frozen oracle only; no forward-development or runtime promotion.
F-ODE-ADJ3-009	defect_repair	fail	Separate raw trial/accepted state from numerically projected RHS inputs. Before endpoint observables, require finite raw f within tolerance, positive finite raw H, bounded clip excursion, and energy/normalization invariants; violation returns typed physical_state_invalid.	Inject accepted y with f<0, f>1, H<0, H=NaN, and a projection-hidden energy violation; assert no N_eff and exact raw offending sample. Metamorphic clipping strength must not change admission.	Physics-correctness repair only; no endpoint validation.
F-ODE-ADJ3-010	defect_repair	fail	Classify immediately after solve_ivp. On failure construct a failure-only result containing outcome and raw partial data; compute histories, final RHS, abundances, or observables only in the admitted-success branch.	Mock failed solve with postprocessor/RHS that raises if called; assert original failure survives and final fields are absent. Property test every non-success status bypasses postprocessing.	Wrapper contract repair only.
